Артикул;Скидка;АГ;Скидка по АГ;ТГ;Скидка по ТГ;ТК;Скидка по ТК;Название ТР (ТС);Скидка по ТР;Скидка на всё
1239756;0,65;;;;;Одноразовая посуда;0,1;ТР Бумажная продукция;0,15;
1411212;0,35;;;;;Календари;0,15;ТР Демонстрационное оборудование;0,2;
1411214;0,35;;;;;Книги;0,15;ТР Офисные принадлежности;0,2;
147841;0,65;;;;;Бейджи;0,15;ТР Письменные принадлежности;0,2;
25688;0,22;;;;;;;ТР Папки, системы архивации документов;0,2;
314593;0,22;;;;;;;ТР Бытовая химия;0,1;
1407985;0,73;;;;;;;ТР Гигиеническая продукция;0,1;
1080622;0,43;;;;;;;ТР Проф.моющ.средства,оборуд-е,инвентарь;0,1;
204992;0,56;;;;;;;ТР Офисная мебель;0,05;
445518;0,55;;;;;;;ТР Продукты питания;0,07;
25242;0,3;;;;;;;ТР ФРЕШ;0,07;
13500;0,18;;;;;;;ТР Рабочая одежда и СИЗ;0,15;
25243;0,3;;;;;;;ТР Упаковочные материалы;0,1;
1596868;0,18;;;;;;;ТР Комус Медицина;0,1;
24842;0,15;;;;;;;;;
129807;0,46;;;;;;;;;
1226618;0,52;;;;;;;;;
142336;0,47;;;;;;;;;
159012;0,49;;;;;;;;;
882854;0,31;;;;;;;;;
933325;0,7;;;;;;;;;
933326;0,68;;;;;;;;;
933327;0,68;;;;;;;;;
933328;0,68;;;;;;;;;
1277747;0,63;;;;;;;;;
384856;0,77;;;;;;;;;
1483970;0,3;;;;;;;;;
877412;0,48;;;;;;;;;
62006;0,25;;;;;;;;;
23833;0,2;;;;;;;;;
267194;0,2;;;;;;;;;
107512;0,56;;;;;;;;;
107516;0,41;;;;;;;;;
143757;0,3;;;;;;;;;
383731;0,68;;;;;;;;;
965722;0,59;;;;;;;;;
1232534;0,33;;;;;;;;;
1022434;0,33;;;;;;;;;
1022431;0,28;;;;;;;;;
95222;0,18;;;;;;;;;
1079352;0,48;;;;;;;;;
323493;0,65;;;;;;;;;
917380;0,55;;;;;;;;;
1044719;0,64;;;;;;;;;
1044720;0,54;;;;;;;;;
1032904;0,45;;;;;;;;;
1161286;0,2;;;;;;;;;
1202373;0,39;;;;;;;;;
1202371;0,42;;;;;;;;;
1411277;0,35;;;;;;;;;
968800;0,7;;;;;;;;;
686312;0,64;;;;;;;;;
257240;0,56;;;;;;;;;
916468;0,58;;;;;;;;;
964110;0,5;;;;;;;;;
1088379;0,25;;;;;;;;;
954199;0,62;;;;;;;;;
882893;0,25;;;;;;;;;
1039679;0,35;;;;;;;;;
254618;0,4;;;;;;;;;
1128555;0,68;;;;;;;;;
76393;0,17;;;;;;;;;
142815;0,28;;;;;;;;;
76391;0,17;;;;;;;;;
1044984;0,6;;;;;;;;;
1044987;0,6;;;;;;;;;
1026495;0,31;;;;;;;;;
926648;0,43;;;;;;;;;
142057;0,46;;;;;;;;;
1619227;0,22;;;;;;;;;
1619226;0,22;;;;;;;;;
926646;0,5;;;;;;;;;
993234;0,45;;;;;;;;;
993234;0,38;;;;;;;;;
1243049;0,37;;;;;;;;;
162443;0,43;;;;;;;;;
710151;0,22;;;;;;;;;
710158;0,22;;;;;;;;;
710155;0,22;;;;;;;;;
1547379;0,36;;;;;;;;;
724985;0,22;;;;;;;;;
710161;0,3;;;;;;;;;
198685;0,57;;;;;;;;;
255137;0,34;;;;;;;;;
255139;0,45;;;;;;;;;
477245;0,59;;;;;;;;;
129337;0,49;;;;;;;;;
255081;0,4;;;;;;;;;
256828;0,57;;;;;;;;;
1112708;0,49;;;;;;;;;
255114;0,43;;;;;;;;;
347861;0,51;;;;;;;;;
361147;0,53;;;;;;;;;
474677;0,45;;;;;;;;;
361148;0,51;;;;;;;;;
216165;0,4;;;;;;;;;
142907;0,41;;;;;;;;;
1442;0,25;;;;;;;;;
901703;0,59;;;;;;;;;
389740;0,56;;;;;;;;;
901704;0,59;;;;;;;;;
901705;0,55;;;;;;;;;
1482481;0,58;;;;;;;;;
1513264;0,5;;;;;;;;;
168706;0,65;;;;;;;;;
27778;0,65;;;;;;;;;
384832;0,45;;;;;;;;;
127652;0,4;;;;;;;;;
127661;0,43;;;;;;;;;
1517761;0,22;;;;;;;;;
906433;0,67;;;;;;;;;
139205;0,66;;;;;;;;;
48915;0,63;;;;;;;;;
1108495;0,56;;;;;;;;;
258967;0,49;;;;;;;;;
900305;0,55;;;;;;;;;
1039681;0,46;;;;;;;;;
1005056;0,56;;;;;;;;;
1274060;0,66;;;;;;;;;
1638977;0,52;;;;;;;;;
334781;0,3;;;;;;;;;
73897;0,35;;;;;;;;;
73634;0,44;;;;;;;;;
1617028;0,38;;;;;;;;;
257237;0,56;;;;;;;;;
257239;0,56;;;;;;;;;
257238;0,56;;;;;;;;;
257240;0,56;;;;;;;;;
633900;0,47;;;;;;;;;
633902;0,46;;;;;;;;;
865459;0,46;;;;;;;;;
255143;0,35;;;;;;;;;
893821;0,34;;;;;;;;;
893823;0,33;;;;;;;;;
